ID,User,Date,Tweet
1339719317005496322,mrgreatwunnn,2020-12-17 23:49:10,Messi is salty af 😂 https://t.co/clnaWjnbkI
1339719317005414400,Already__seen,2020-12-17 23:49:10,RT @fellamakafui_: Booked and busy .. i be in these people club🧟‍♀️ https://t.co/vtGcB2QBc2
1339719317001129988,EliteDiscipleJ,2020-12-17 23:49:10,"RT @thepisceanaura: the pisces girls are going through it again, your honor"
1339719316992909317,juchuuk,2020-12-17 23:49:10,@DailyofKoo LMFAO PLEASEJRNTN
1339719316971896834,winwindilf,2020-12-17 23:49:10,"@got7shoebill ohhh that is a v inch resting mole to have,,,i dont think ive ever seen it, you might be onto smth 🤔"
1339719316971823104,EyaKitten,2020-12-17 23:49:10,@caityloux Brilliant content! Your content is really impressive and perfect for shoutout at Instagram📸so dm your pi… https://t.co/eZl9BpJNDk
1339719316971798530,mijohaseo,2020-12-17 23:49:10,"RT @unabIez: i will not accept a hint, i will act dumb until you say it with your chest."
1339719316967747585,jalloyd01,2020-12-17 23:49:10,"RT @georgehallback: I’ll give $5,000 to someone who retweets this tweet and Dm Asap ✅.  MUST be  following @backup_georgee and myself in a…"
1339719316967628801,CUTINBLVCK,2020-12-17 23:49:10,@NoKidsHive Talk to me bout dat when you HEALTHY smh
1339719316967583744,nahsty6,2020-12-17 23:49:10,RT @nxcolelo: emo stands for eat me out
1339719316963381248,disparate,2020-12-17 23:49:10,@giltcomplex imagine should only be that high on a list of worst songs ever i hate it sm
1339719316950851584,redheadjenny6,2020-12-17 23:49:10,"RT @McKaylaRoseJ: @RepSwalwell Maybe if you didn't give all our secrets to our enemy over some ass, we wouldn't have been hacked"
1339719316946776066,lowkeylima69,2020-12-17 23:49:10,@StendoBans what you do
1339719316946767874,panfordisshere,2020-12-17 23:49:10,RT @Eny3_mani_aa1: Herrr Kweku Smoke is the right synonym for 'Noise' nigga ein snoop forever album is trash. Forget Agenda.
1339719316946599937,mcduff_maria,2020-12-17 23:49:10,@nickcarter It would be so amazing. Just some joy after a crazy year. ❤️
1339719316942561280,Chilhon2016Lap,2020-12-17 23:49:10,RT @SpeakerShinjini: Who hates her period? 😫
1339719316929974282,superrm12,2020-12-17 23:49:10,@Unwante69158505 Left
1339719316925779969,KittyKateTigers,2020-12-17 23:49:10,@erinbiba Can we just turn this part over to Biden early. Trump doesn't care.
1339719316917411844,xenodogz,2020-12-17 23:49:10,@AtNathanYaffe i did. thank you so much
1339719316917407750,kotumn,2020-12-17 23:49:10,@koalabumlol @Tahifn I know
1339719316917297152,unclebeefy,2020-12-17 23:49:10,"Hey #maga... THIS is the elitism you claim you hate.

Hey @realDonaldTrump and @GOP... this is your swamp you claim… https://t.co/uBW1eXMrpZ"
1339719316917215232,positionsvante,2020-12-17 23:49:10,The way I deleted the HSC results message without looking at the marks
1339719316913217537,TommyFe83946621,2020-12-17 23:49:10,@ellt19006497 I know mate it’s tiring . Can see this matchroom fan boys coming a mile off .
1339719316913205248,jourdasiaj,2020-12-17 23:49:10,RT @iambrimiah: Face pretty and I got my own money
1339719316909027331,OfficialBerko,2020-12-17 23:49:10,@yarenozhn Black 📸🔥
1339719316909023232,theivylakes,2020-12-17 23:49:10,@booboos_bitch HAPPY BIRTHDAY BESTIEEEEEE
1339719316908871680,urmyhobihope,2020-12-17 23:49:10,"For legal reasons, I did not tweet this"
1339719316908830720,David_9o9,2020-12-17 23:49:10,RT @goongerardo: girls b like “i know my worth” then get played by a mf w no car
1339719316900511744,jextrash,2020-12-17 23:49:10,RT @spicyaddyx: erana's smile at the end🥺 https://t.co/bgX0jvZJxa
1339719316896436224,sageofcroachy,2020-12-17 23:49:10,@AgentP22 Wafers were thin on the ground then ?
1339719316896428033,antiprosynth,2020-12-17 23:49:10,"RT @Tetranode: @antiprosynth @balajis It's true.

As a mentor to 11, 12, 13yo kids, we deal exclusively with $ETH as part of DeFi operation…"
1339719316888010755,CassCole53,2020-12-17 23:49:10,RT @pulte: I am so disappointed in Congress.  I am mostly disappointed in the complete lack of tone deafness from politicians who collect p…
1339719316883664898,manishmahapatr,2020-12-17 23:49:10,"@billuba97957242 @Har_Har_Mahadeb @pbhushan1 Zandoo bam, mentos are also produced by corporates. You are promoting them?"
1339719316871233536,soravennn,2020-12-17 23:49:10,@theestallion @CashApp $soravennn #BITCONMEG
1339719316867076103,johsweetie,2020-12-17 23:49:10,pickles and chili and yellow mustard https://t.co/ag531055Y7
1339719316858650627,DASM00S3,2020-12-17 23:49:10,Bitch caught a conscious from doing wrong. https://t.co/8RwJFV5Hqq
1339719316850307075,LockdownPatriot,2020-12-17 23:49:10,@stoolpresidente No fancy name necessary. Good pizza is good pizza.
1339719316845936641,UnitedWorkersOz,2020-12-17 23:49:10,Donate now: https://t.co/ff5shnv3rd
1339719316845912064,cgjunkie2020,2020-12-17 23:49:10,RT @BlenderNation: Amazon Web Services joins Blender Development Fund! https://t.co/9Ro5E18GIl #b3d https://t.co/GyELbHhYFk
1339719316841885699,EattMyy_STEW,2020-12-17 23:49:10,Tomorrow is my last day of work until the new year... but I ain't doing shit tomorrow soo 🥳 *pours a glass of wine*
1339719316837715971,Alan7615,2020-12-17 23:49:10,@gabrielmosspdx It's been a journey 😅 https://t.co/PYBo8JIugj
1339719316837519360,PanthersAnalyst,2020-12-17 23:49:10,"RT @ShaqThompson_7: RT to help us keep providing resources like dental care to kids in Sacramento &amp; Charlotte 🙏🏾

#WPMOYChallenge + Thompson"
1339719316829298693,omg_its_sam_t,2020-12-17 23:49:10,New roommate is a black ballet dancer??? Whew the talent and beauty in this apartment is about to EXPLODE 🥳
1339719316825124864,WillHaskins9,2020-12-17 23:49:10,@Michael31581908 @RepBarbaraLee Nothings free in this world
1339719316820901888,duddapf,2020-12-17 23:49:10,RT @Aylamaral4: i like to feel his eyes on me when i look away... https://t.co/j8dYEMruFP
1339719316812386304,DirkStriderSSB,2020-12-17 23:49:10,and every time i open the eshop on the fucking front page center are two triggering games hahaha i LOVe this!!
1339719316804132866,ozawashkwateseg,2020-12-17 23:49:10,@pulte It’s awful!
1339719316804124673,9j1545,2020-12-17 23:49:10,BEIJING BENSON: State Sec Demanding Data Deletion Taught U.S. Election Details to CCP Students at Xi Jinping’s Alma… https://t.co/nQUhPSCuGm
1339719316795744260,WonderstruckYT,2020-12-17 23:49:10,If people could stop confusing me with other creators for like a day and recognize me as me - that would kinda be cool???
1339719316791566338,sweetcupofTee,2020-12-17 23:49:10,RT @melanatedvibes_: the stimulus should be 8k for the 8 months we went without it
1339719316783165440,Netsane1,2020-12-17 23:49:10,@KjetilTronvoll Mrs Tronvoll agent of tplf no more destabilizing our country no More tplf
1339719316774801408,Lethal_Weapon_E,2020-12-17 23:49:10,"RT @wetneptune: 🌸 For Libra, Aquarius, Gemini, Cancer &amp; Leo Placements: 

You are just... getting your shit together. I see you money bags!…"
1339719316770594816,cosmotopper6,2020-12-17 23:49:10,@TifaLockhart78 And we know this how? Veritas again?
1339719316766302208,babaaabubu,2020-12-17 23:49:10,RT @gentlykook: [𝘉𝘦𝘩𝘪𝘯𝘥 𝘤𝘶𝘵] 𝘙𝘶𝘯 𝘉𝘛𝘚! - 𝘌𝘗.𝟣𝟤𝟢 https://t.co/wUiFHFeDgs
1339719316762222592,ONLYSUNFL0WER,2020-12-17 23:49:10,RT @SUNNYXLOUX: Watermelon sugar walked so Cucumber salt could run.
1339719316762071040,G0DJICHU,2020-12-17 23:49:10,the birth of thottie yerim and also what the fuck was irene wearing😭 /j  /pos https://t.co/5pibs4QAr7
1339719316758007808,Oh_Wise1,2020-12-17 23:49:10,@YaFav_Sailor That’s all a nigga want for Christmas
1339719316757995522,scarstsuga,2020-12-17 23:49:10,RT @AGUSTLOOK: the cutest person in the world https://t.co/8BGZbWLVxb
1339719316757889024,fathiii16,2020-12-17 23:49:10,RT @alexrodmejia: Gloomy sky is so purty
1339719316757860353,Roadragerusty,2020-12-17 23:49:10,Check out my wife's new website...and book a session!🥰 https://t.co/Ov8RaBKHqy
1339719316753801218,mrjnc16,2020-12-17 23:49:10,RT @HillaryClinton: People who stood by Donald Trump for the last four years are now claiming to be offended that a Democratic campaign man…
1339719316749623300,santalix_,2020-12-17 23:49:10,RT @jjamz_: I love drinking water... but pissing 400 times a day ain’t it. 😭
1339719316749619203,Markdemski1,2020-12-17 23:49:10,@DenverOdie @b_weishahn @tracybeanz @UncoverDC Hey mustache
1339719316749524993,comixguru,2020-12-17 23:49:10,RT @pulte: I am so disappointed in Congress.  I am mostly disappointed in the complete lack of tone deafness from politicians who collect p…
1339719316745428993,Mere70,2020-12-17 23:49:10,RT @Giannoulias: Who can pay rent and put food on the table with one $600 check?? U.S. billionaires’ wealth has increased by nearly $2 tril…
1339719316741210112,tpwkcaitlin,2020-12-17 23:49:10,RT @tinykinseyscale: It's capitalism. https://t.co/hDX23xwqFJ
1339719316741111808,cjgotthajuicee,2020-12-17 23:49:10,If you let somebody dictate how you feel about me just off some bs they told you without even coming to me to see y… https://t.co/T7z9e4S7BJ
1339719316741050369,MengivinaMendo1,2020-12-17 23:49:10,RT @TheJesusMessage: You can never go wrong with allowing God into your life.
1339719316737052672,DUWBB,2020-12-17 23:49:10,"Checkout first year Ava Warcaba’s pregame pump up playlist 💪🏽 

Want the whole thing? Get it on our Instagram story… https://t.co/PZGUE6qcED"
1339719316737028096,tae_9597,2020-12-17 23:49:10,"RT @taebokkiii: Kim Taehyung dancing ON in suit is so powerful 😩🔥
https://t.co/7bl3GBuTmd"
1339719316736860160,EinnyKosu,2020-12-17 23:49:10,"RT @uwuitscold: ☁️ Giveaway ❄️

✨400 NMT 

🌿Rules : follow me, @kikysart &amp; @novalightdiy + ❤️ &amp; RT + comment emoji 

Ends in 24hours

#acnh…"
1339719316732866562,Immanuelokwudir,2020-12-17 23:49:10,RT @karlfreeman1234: If you see this i beg you in God's name that you help us continue my little brother's treatment by retweeting or donat…
1339719316732833792,Dawanen29,2020-12-17 23:49:10,Update: I’m in!! (Thanks @Sharon_evi )
1339719316728664067,snaptree2,2020-12-17 23:49:10,@cronysmp EYYY NICE
1339719316724305920,lunariegoo,2020-12-17 23:49:10,"RT @irenegives: 〖 ₱5 gcash 〗

❃ retweet
❃ follow me and @yuwreeeeeeeeeee
❃ tag friends if you want

ends after an hour! ♡"
1339719316707618817,IzzyBakaa,2020-12-17 23:49:10,@izune1z Always needed so when you get more and more followers you’ll have more moots!
1339719316703461376,drewlanning,2020-12-17 23:49:10,Yo @zynga how’d I start the latest duels with -3 stars then I beat someone and climbed up to 0? This new?
1339719316703424515,closeto_you,2020-12-17 23:49:10,@felixfairycore Space Song by Beach House :0
1339719316695093249,Fabdeanda07,2020-12-17 23:49:10,"RT @JoJoFromJerz: Her boss:
Called Mexicans rapists
Mocked a disabled reporter.
Calls women dogs.
Bragged about sexual assault.
Attacks peo…"
1339719316694953984,minhocatgirl,2020-12-17 23:49:10,@coffeesungs WELL I LOVE U ❤️❤️
1339719316690878470,Evvss55,2020-12-17 23:49:10,RT @finalfantasyvii: Because Kirby's worth it. https://t.co/6SHn2DV4iD
1339719316690759680,eliaswelsh,2020-12-17 23:49:10,RT @bernhardforcher: What are your thoughts on @ninaturner running as a Democrat?
1339719316686708737,dobbysdamie,2020-12-17 23:49:10,"I made my sister listen to tag me and she liked it, she rlly wasnt feeling zigzag so I'm happy she liked this one s… https://t.co/fiWXqEnWrQ"
1339719316682498055,loveurselfabayo,2020-12-17 23:49:10,RT @peterdaou: $600????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????…
1339719316682489859,a_valc,2020-12-17 23:49:10,"@TheCrushedBones I don’t listen to anything BBC anymore, but I believe we are oppressed diabolically anyway"
1339719316674129925,LeighhazelLeigh,2020-12-17 23:49:10,RT @ValiVailVali: @kylegriffin1 I love that so many of their bogus lawsuits are contesting the rules that were changed because of Covid so…
1339719316665675776,firnenil,2020-12-17 23:49:10,RT @sapphicsizhui: im seeing a pattern here https://t.co/D8pbAAbtVL
1339719316657352706,Gurl_selenator,2020-12-17 23:49:10,RT @IHeartUSelena: Sel’s had 3 cover shoots in just December alone 🤧🥺
1339719316657344513,Nana03742213,2020-12-17 23:49:10,Wahala for who did not move on with their full chest😹
1339719316653174786,94NYBABY,2020-12-17 23:49:10,RT @Louis_Tomlinson: @kiIIsIove @Iouisasfook @diggorylwt @UpdateHLD No but maybe I should
1339719316653170690,shyterica_stots,2020-12-17 23:49:10,My poor baby sick 😩
1339719316653137920,LexisJacks,2020-12-17 23:49:10,RT @b0mbchell_: Let me know when they enter the Moan room on CH! Thanks 🎧 https://t.co/EH6uOIRTSp
1339719316653092870,Ayoo_Noah,2020-12-17 23:49:10,RT @xaneiys: Y'all remember that one time Young Thug gave blood to Carti😭 https://t.co/Ll5xy8vxKf
1339719316648935426,Charismaineiac,2020-12-17 23:49:10,@weejulietots U r Santa in his eyes
